Experiment,SubjectID,Schedule,TestName,MPoint,SessionName,SessionID,LaunchTime,StartTime,ResultTime,GMTOffset,Exception,Remark,block,task,trial,symbol,image,angle,response,key,rt
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,21,R,mirrored,300,correct,mirrored,1170.9
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,22,R,mirrored,0,correct,mirrored,851.1
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,23,R,mirrored,180,correct,mirrored,1376.3
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,24,2,mirrored,120,correct,mirrored,1006.4
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,25,R,regular,300,correct,regular,822
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,26,F,regular,60,correct,regular,938
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,27,R,mirrored,60,correct,mirrored,729.6
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,28,R,regular,180,correct,regular,1662.7
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,29,2,mirrored,0,correct,mirrored,813.1
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,30,R,regular,60,correct,regular,691.7
